alpha,gamma,sigma,activation,minimized_quantity,lambda_opt
450.0,1.0,0.5,matching,error_pb,0.16740123531698156
500.0,1.0,0.5,matching,error_pb,0.13904498879848615
520.0,1.0,0.5,matching,error_pb,0.12553770088060937

0.1,1.0,0.5,matching,evidence,0.08033510896841563
0.5,1.0,0.5,matching,evidence,0.08029487072954322
0.6,1.0,0.5,matching,evidence,0.08027828262925242
1.0,1.0,0.5,matching,evidence,0.0801949758774893
1.5,1.0,0.5,matching,evidence,0.0800763320759471
2.0,1.0,0.5,matching,evidence,0.07996466175012004
2.5,1.0,0.5,matching,evidence,0.07987198055695932
3.0,1.0,0.5,matching,evidence,0.07980105001682394
3.5,1.0,0.5,matching,evidence,0.0797499775257113
4.0,1.0,0.5,matching,evidence,0.07971526478275831
4.5,1.0,0.5,matching,evidence,0.07969332384163265
5.0,1.0,0.5,matching,evidence,0.07968105544724606
6.0,1.0,0.5,matching,evidence,0.07967617723136461
7.0,1.0,0.5,matching,evidence,0.07968698263327095
8.0,1.0,0.5,matching,evidence,0.0797057507282503
9.0,1.0,0.5,matching,evidence,0.07972820180126164
10.0,1.0,0.5,matching,evidence,0.07975197586175908
50.0,1.0,0.5,matching,evidence,0.08015170873153621
100.0,1.0,0.5,matching,evidence,0.08025198814419218
150.0,1.0,0.5,matching,evidence,0.08030272019549126
200.0,1.0,0.5,matching,evidence,0.08034516902610679

0.0005,20000.0,0.0,erf,loss,0.0003436528839471199
0.001,10000.0,0.0,erf,loss,0.0003443471880999292
0.002,5000.0,0.0,erf,loss,0.0003457360785956215
0.005,2000.0,0.0,erf,loss,0.00034995268041378494
0.1,100.0,0.0,erf,loss,0.00048727007701136814
0.5,20.0,0.0,erf,loss,0.001329093385217458
0.6,16.666666666666668,0.0,erf,loss,0.001602458637972346
1.0,10.0,0.0,erf,loss,0.0028619367341345394
1.5,6.666666666666667,0.0,erf,loss,0.0046936563039039515
2.0,5.0,0.0,erf,loss,0.006612666245302259
2.5,4.0,0.0,erf,loss,0.008480299232316673
3.0,3.3333333333333335,0.0,erf,loss,0.010223918194762923
3.5,2.857142857142857,0.0,erf,loss,0.01182881032938724
4.0,2.5,0.0,erf,loss,0.013293190800711672
4.5,2.2222222222222223,0.0,erf,loss,0.014650126232691598
5.0,2.0,0.0,erf,loss,0.015927401630206225
6.0,1.6666666666666667,0.0,erf,loss,0.018397413610359455
7.0,1.4285714285714286,0.0,erf,loss,0.021042497978938014
8.0,1.25,0.0,erf,loss,0.02422455588367681
9.0,1.1111111111111112,0.0,erf,loss,0.028242349411822028
10.0,1.0,0.0,erf,loss,0.033330457506363244

0.0005,20000.0,0.0,erf,error,1.5960801377939275e-05
0.001,10000.0,0.0,erf,error,1.5960801377939275e-05
0.002,5000.0,0.0,erf,error,1.5960801377939275e-05
